timestamp,source_ip,source_port,destination_ip,destination_port,dscp,tos
977979601.049,208.64.243.151,80,180.195.87.50,1491,0,0
977979601.05,193.49.144.156,35317,144.222.79.145,80,0,0
977979601.051,180.195.49.164,58135,71.251.142.191,5543,0,0
977979601.051,196.20.225.36,80,180.195.6.191,1072,0,0
977979601.051,209.135.177.34,80,149.67.64.237,1681,0,0
977979601.051,209.135.177.34,80,149.67.64.237,1681,0,0
977979601.051,181.172.20.119,6346,176.97.154.167,4309,0,0
977979601.052,202.96.55.140,80,144.222.107.36,4984,0,0
977979601.052,180.195.6.191,1072,196.20.225.36,80,0,0
977979601.052,206.80.170.213,6346,176.97.154.167,1183,0,0
977979601.053,207.62.157.58,53,192.168.1.248,1026,0,0
977979601.053,200.122.16.160,80,207.157.168.93,1051,0,0
977979601.053,180.195.87.195,6699,219.184.202.181,1041,0,0
977979601.053,178.135.244.164,1169,176.97.154.167,6346,0,0
977979601.053,209.97.63.195,6699,170.117.2.76,2167,0,0
977979601.054,207.157.38.139,80,209.47.92.134,26599,0,0
977979601.054,200.122.16.160,80,207.157.168.93,1051,0,0
977979601.054,200.122.16.160,80,207.157.168.93,1051,0,0
977979601.054,200.122.16.160,80,207.157.168.93,1050,0,0
977979601.054,209.135.177.34,80,149.67.64.237,1681,0,0
977979601.055,209.135.177.34,80,149.67.64.237,1681,0,0
977979601.055,200.122.16.160,80,207.157.168.93,1051,0,0
977979601.055,200.122.16.160,80,207.157.168.93,1051,0,0
977979601.055,176.97.154.167,6346,107.3.172.130,21050,0,0
977979601.055,180.195.87.195,6699,219.184.202.181,1041,0,0
977979601.055,180.195.87.195,6699,219.184.202.181,1041,0,0
977979601.055,83.26.165.95,6699,180.195.6.98,64339,0,0
977979601.056,202.96.55.140,80,144.222.107.36,4984,0,0
977979601.056,83.9.231.87,25,180.195.6.223,2245,0,0
977979601.056,193.189.205.83,53,206.133.250.176,53,0,0
977979601.057,180.195.6.191,1072,196.20.225.36,80,0,0
977979601.057,202.96.55.140,80,144.222.107.36,4984,0,0
977979601.058,206.133.250.176,53,219.109.78.130,1906,0,0
977979601.058,180.195.87.195,6699,219.184.202.181,1041,0,0
977979601.058,180.195.87.195,6699,219.184.202.181,1041,0,0
977979601.058,207.157.38.139,80,209.47.92.134,26599,0,0
977979601.058,207.157.38.139,80,209.47.92.134,26599,0,0
977979601.058,207.62.152.77,53,190.185.183.27,1024,0,0
977979601.058,180.195.6.191,1072,196.20.225.36,80,0,0
977979601.059,206.133.250.176,53,219.109.78.130,1906,0,0
977979601.059,206.133.250.176,53,193.189.205.83,53,0,0
977979601.059,180.195.4.219,1396,46.83.193.150,1386,0,0
977979601.06,83.18.102.172,6346,176.97.154.167,4355,0,0
977979601.06,202.172.237.51,3128,144.222.106.209,3966,0,0
977979601.061,202.22.136.133,20,170.117.77.112,44136,2,8
977979601.061,83.110.4.36,6346,176.97.154.167,3904,0,0
977979601.061,207.82.150.230,80,207.145.216.244,39320,0,0
977979601.061,207.82.150.230,80,207.145.216.244,39320,0,0
977979601.061,180.195.6.191,1072,196.20.225.36,80,0,0
977979601.062,202.172.237.51,3128,144.222.106.209,3966,0,0
977979601.063,209.135.177.34,80,149.67.64.237,1681,0,0
977979601.063,209.135.177.34,80,149.67.64.237,1681,0,0
977979601.063,202.172.237.51,3128,144.222.106.209,3966,0,0
977979601.063,200.122.21.248,20,176.97.127.61,2624,0,0
977979601.064,71.251.142.191,5543,180.195.49.164,58135,4,16
977979601.064,176.97.154.167,4355,83.18.102.172,6346,0,0
977979601.064,200.122.21.248,20,176.97.127.61,2624,0,0
977979601.064,200.122.21.248,20,176.97.127.61,2624,0,0
